"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Fruit","Category","Item","Metric","Domain","Domain Category","Value","CV (%)"
"CENSUS",2021,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","PROCESSING - SALES","MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","PROCESSING - SALES","MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,440","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","ALASKA","02",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - ACRES HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","ALASKA","02",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH AREA HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","ALASKA","02",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","ALASKA","02",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - PRODUCTION","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","ALASKA","02",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN $",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","ALASKA","02",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","ALASKA","02",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","ALASKA","02",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","ALASKA","02",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - ACRES HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4,228","45.7"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH AREA HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","142","19.2"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","142","19.2"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - PRODUCTION","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,413,251","51.6"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN $",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","311,784,980","46.0"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,412,627","51.7"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","141","20.4"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,401,384","50.6"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","PROCESSING - OPERATIONS WITH SALES",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","7","60.0"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","PROCESSING - SALES","MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","PROCESSING - SALES","MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,244","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","CONNECTICUT","09",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - ACRES HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","CONNECTICUT","09",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH AREA HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","8","74.4"
"CENSUS",2021,"YEAR",NA,"STATE","CONNECTICUT","09",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","8","74.4"
"CENSUS",2021,"YEAR",NA,"STATE","CONNECTICUT","09",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - PRODUCTION","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","183","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","CONNECTICUT","09",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN $",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","40,890","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","CONNECTICUT","09",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","183","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","CONNECTICUT","09",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","8","74.4"
"CENSUS",2021,"YEAR",NA,"STATE","CONNECTICUT","09",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","40,890","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","CONNECTICUT","09",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","183","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","FLORIDA","12",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - ACRES HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","704","99.8"
"CENSUS",2021,"YEAR",NA,"STATE","FLORIDA","12",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH AREA HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10","57.3"
"CENSUS",2021,"YEAR",NA,"STATE","FLORIDA","12",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10","57.3"
"CENSUS",2021,"YEAR",NA,"STATE","FLORIDA","12",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - PRODUCTION","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","67,146","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","FLORIDA","12",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN $",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","18,358,396","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","FLORIDA","12",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","67,146","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","FLORIDA","12",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10","57.3"
"CENSUS",2021,"YEAR",NA,"STATE","FLORIDA","12",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","18,358,396","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","FLORIDA","12",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","67,146","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","GEORGIA","13",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - ACRES HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","92.4"
"CENSUS",2021,"YEAR",NA,"STATE","GEORGIA","13",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH AREA HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","80.4"
"CENSUS",2021,"YEAR",NA,"STATE","GEORGIA","13",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","80.4"
"CENSUS",2021,"YEAR",NA,"STATE","GEORGIA","13",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - PRODUCTION","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","19","78.0"
"CENSUS",2021,"YEAR",NA,"STATE","GEORGIA","13",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN $",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,600","77.8"
"CENSUS",2021,"YEAR",NA,"STATE","GEORGIA","13",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","19","78.0"
"CENSUS",2021,"YEAR",NA,"STATE","GEORGIA","13",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","80.4"
"CENSUS",2021,"YEAR",NA,"STATE","GEORGIA","13",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,600","77.8"
"CENSUS",2021,"YEAR",NA,"STATE","GEORGIA","13",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","19","78.0"
"CENSUS",2021,"YEAR",NA,"STATE","IDAHO","16",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - ACRES HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","7","87.5"
"CENSUS",2021,"YEAR",NA,"STATE","IDAHO","16",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH AREA HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","53.2"
"CENSUS",2021,"YEAR",NA,"STATE","IDAHO","16",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","53.2"
"CENSUS",2021,"YEAR",NA,"STATE","IDAHO","16",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - PRODUCTION","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","111","71.4"
"CENSUS",2021,"YEAR",NA,"STATE","IDAHO","16",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN $",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","31,680","74.1"
"CENSUS",2021,"YEAR",NA,"STATE","IDAHO","16",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","111","71.4"
"CENSUS",2021,"YEAR",NA,"STATE","IDAHO","16",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","53.2"
"CENSUS",2021,"YEAR",NA,"STATE","IDAHO","16",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","31,680","74.1"
"CENSUS",2021,"YEAR",NA,"STATE","IDAHO","16",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","111","71.4"
"CENSUS",2021,"YEAR",NA,"STATE","ILLINOIS","17",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - ACRES HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","95.4"
"CENSUS",2021,"YEAR",NA,"STATE","ILLINOIS","17",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH AREA HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","95.4"
"CENSUS",2021,"YEAR",NA,"STATE","ILLINOIS","17",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","95.4"
"CENSUS",2021,"YEAR",NA,"STATE","ILLINOIS","17",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - PRODUCTION","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","53","94.9"
"CENSUS",2021,"YEAR",NA,"STATE","ILLINOIS","17",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN $",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","16,000","95.0"
"CENSUS",2021,"YEAR",NA,"STATE","ILLINOIS","17",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","53","94.9"
"CENSUS",2021,"YEAR",NA,"STATE","ILLINOIS","17",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","95.4"
"CENSUS",2021,"YEAR",NA,"STATE","ILLINOIS","17",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","16,000","95.0"
"CENSUS",2021,"YEAR",NA,"STATE","ILLINOIS","17",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","53","94.9"
"CENSUS",2021,"YEAR",NA,"STATE","INDIANA","18",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - ACRES HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","INDIANA","18",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH AREA HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","INDIANA","18",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","INDIANA","18",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - PRODUCTION","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","INDIANA","18",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN $",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","INDIANA","18",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - SALES","MEASURED IN CWT",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","INDIANA","18",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS",2021,"YEAR",NA,"STATE","INDIANA","18",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","INDIANA","18",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC","FRESH MARKET - SALES","MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"CENSUS",2021,"YEAR",NA,"STATE","IOWA","19",NA,NA,NA,NA,NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES","ORGANIC - ACRES HARVESTED",NA,NA,"ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
