Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Fruit,Category,Item,Metric,Domain,Domain Category,Value,CV (%),use,name,code,Value_numeric,CV_numeric
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,3,55.7,NA,NA,NA,3,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,3,52.7,NA,NA,NA,3,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,1,47.6,NA,NA,NA,1,47.6
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,2,55.7,NA,NA,NA,2,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,2,52.7,NA,NA,NA,2,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,4,55.7,NA,NA,NA,4,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,4,52.7,NA,NA,NA,4,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,8,13.2,NA,NA,NA,8,13.2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,9,15.7,NA,NA,NA,9,15.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,1,(H),NA,NA,NA,1,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,10,55.7,NA,NA,NA,10,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,11,52.7,NA,NA,NA,11,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,3,47.6,NA,NA,NA,3,47.6
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,7,13.2,NA,NA,NA,7,13.2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,7,15.7,NA,NA,NA,7,15.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,6,55.7,NA,NA,NA,6,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,6,52.7,NA,NA,NA,6,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,1,13.2,NA,NA,NA,1,13.2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,1,15.7,NA,NA,NA,1,15.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,4,55.7,NA,NA,NA,4,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,4,52.7,NA,NA,NA,4,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,2,55.7,NA,NA,NA,2,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,2,52.7,NA,NA,NA,2,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,10,13.2,NA,NA,NA,10,13.2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,10,15.7,NA,NA,NA,10,15.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,8,55.7,NA,NA,NA,8,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,8,52.7,NA,NA,NA,8,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,2,55.7,NA,NA,NA,2,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,2,52.7,NA,NA,NA,2,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,1,(L),NA,NA,NA,1,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,1,(L),NA,NA,NA,1,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,2,(L),NA,NA,NA,2,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,2,(L),NA,NA,NA,2,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,2,13.2,NA,NA,NA,2,13.2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,2,15.7,NA,NA,NA,2,15.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(Z),(H),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,3,55.7,NA,NA,NA,3,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,6,52.7,NA,NA,NA,6,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,3,47.6,NA,NA,NA,3,47.6
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,61,13.2,NA,NA,NA,61,13.2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,61,15.7,NA,NA,NA,61,15.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,13,55.7,NA,NA,NA,13,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,13,52.7,NA,NA,NA,13,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,1,52.7,NA,NA,NA,1,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,1,47.6,NA,NA,NA,1,47.6
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,16,15.7,NA,NA,NA,16,15.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,4,55.7,NA,NA,NA,4,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,4,52.7,NA,NA,NA,4,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,2,47.6,NA,NA,NA,2,47.6
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,8,13.2,NA,NA,NA,8,13.2
